#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L101-S175      1735.591  1266.016  17.168   0.045 1.76400    5.519958  16.556   0.672   0.820   0.399   8   8   6   6
  L101-S177      1629.337  1318.163  14.036   0.004 1.76400    5.519958  13.305   0.784   0.897   0.439   7   7   6   6
  L101-S188       480.884  1460.435  20.120   0.693 1.76400    5.519958  19.736   1.633   2.752   1.627  22  19  22  29
  L101-S190      1825.470  1468.072  18.957   0.226 1.76400    5.519958  17.952   1.448   1.985   1.002   9   8   6   6
  L101-S191       509.273  1486.946  13.969   0.004 1.76400    5.519958  13.232   0.798   0.895   0.410  37  37  29  29
  L101-S195      1477.856  1519.565  17.377   0.055 1.76400    5.519958  17.087   0.621   0.704   0.336  31  31  28  28
  L101-S200      1667.031  1551.370  18.218   0.120 1.76400    5.519958  17.913   0.493   0.661   0.326  17  15  17  21
  L101-S201       191.664  1583.192  19.310   0.321 1.76400    5.519958  18.831   0.894   1.134   0.521  38  38  29  29
  L101-S205      1165.298  1620.960  17.936   0.087 1.76400    5.519958  17.028   0.929   1.102   0.483  33  33  28  28
  L101-S213        45.660  1733.029  18.235   0.122 1.76400    5.519958  17.595   0.885   1.033   0.488  39  39  36  36
  L101-S215      1424.349  1752.428  19.643   0.438 1.76400    5.519958  18.731   1.515   2.018   1.051  28  20  28  28
  L101-S279       546.541  1947.692  18.032   0.100 1.76400    5.519958  16.849   1.537   2.060   1.084  32  32  24  24
  L101-S280      1027.374  2138.230  17.941   0.094 1.76400    5.519958  17.229   0.776   0.905   0.427  31  31  25  25
  L101-S281       216.979  2147.164  16.780   0.031 1.76400    5.519958  16.052   0.792   0.919   0.434  41  41  31  31
  L101-S284        15.872  2276.764   0.000   0.000 1.76400    5.519958  17.392   0.629   0.802   0.408  42  42  37  37
  L101-S285      1315.473  2360.712  17.934   0.092 1.76400    5.519958  17.141   0.737   0.884   0.430  30  30  25  25
  L101-S287       461.686  2518.667  17.910   0.088 1.76400    5.519958  17.122   0.869   1.060   0.484  37  37  30  30
  L101-S290      1258.216  2767.169  14.771   0.007 1.76400    5.519958  13.991   0.819   0.909   0.426  31  31  25  25
  L101-S298       820.198  3226.966  18.050   0.105 1.76400    5.519958  17.423   0.787   0.930   0.437  30  30  27  27
  L101-S300       616.062  3338.435  16.949   0.040 1.76400    5.519958  16.394   0.604   0.722   0.362  45  45  30  30
  L101-S306       913.953  3455.834  18.226   0.129 1.76400    5.519958  16.988   1.253   1.496   0.662  33  33  25  25
  L101-S307      1225.560  3546.660  17.210   0.051 1.76400    5.519958  16.643   0.579   0.708   0.355  32  32  25  25
