#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L101-S1        1637.084  3504.006  17.551   0.076 1.76400    5.519958  16.665   0.918   1.148   0.516  67  67  53  53
  L101-S3         715.817  3646.040  16.740   0.039 1.76400    5.519958  15.739   0.954   1.135   0.510  50  50  48  48
  L101-S10       1555.121  3987.055  20.129   0.835 1.76400    5.519958  18.208   0.954   1.173   0.524  64  64  60  60
  L101-327        701.117   849.492  14.487   0.005 1.76400    5.519958  13.448   1.121   1.293   0.564  51  51  51  54
  L101-326        413.031   802.302  15.564   0.012 1.76400    5.519958  14.942   0.680   0.783   0.360  35  35  35  38
  L101-330        371.420  1509.029  14.250   0.004 1.76400    5.519958  13.730   0.556   0.687   0.331  76  76  76  76
  L101-329        577.220  1410.831  12.570   0.002 1.76400    5.519958  11.993   0.618   0.732   0.343  39  39  29  29
  L101-S134       219.807   202.269  18.557   0.156 1.76400    5.519958  17.722   0.856   0.990   0.458  22  22  22  25
  L101-S135       236.699   276.289  16.683   0.029 1.76400    5.519958  15.850   0.965   1.159   0.518  23  23  23  26
  L101-S138      1744.063   427.546  19.325   0.304 1.76400    5.519958  18.263   1.504   2.063   1.055  26  26  26  28
  L101-S143        80.088   517.822  18.876   0.217 1.76400    5.519958  17.975   1.137   1.360   0.613  23  23  23  26
  L101-S144      2011.872   541.009  19.675   0.442 1.76400    5.519958  17.991   1.529   2.073   1.063  23  23  23  25
  L101-S149      1800.664   618.724  17.772   0.075 1.76400    5.519958  17.242   0.595   0.775   0.369  26  26  25  25
  L101-S150      1583.632   628.446  20.091   0.636 1.76400    5.519958  19.025   1.144   1.421   0.614  24  24  20  20
  L101-S153      1562.005   745.488  15.622   0.011 1.76400    5.519958  14.866   0.780   0.912   0.415  27  27  27  28
  L101-S156      1070.939   887.558  17.805   0.081 1.76400    5.519958  17.440   0.575   0.725   0.350  23  23  23  27
  L101-S157      1856.123   898.624  19.606   0.429 1.76400    5.519958  18.571   1.324   1.661   0.769  20  20  20  25
  L101-S158      1703.128   913.487  19.251   0.308 1.76400    5.519958  18.676   1.433   1.771   0.810  23  23  23  27
  L101-S161        80.890  1015.894  16.333   0.024 1.76400    5.519958  15.589   0.786   0.923   0.432  24  24  24  28
  L101-S170      1988.764  1206.966  14.600   0.005 1.76400    5.519958  14.108   0.510   0.643   0.303  26  26  25  25
  L101-S171       142.713  1207.005  20.020   0.685 1.76400    5.519958  18.883   1.329   1.669   0.798  22  21  22  24
  L101-S179      1933.332  1339.922  16.731   0.033 1.76400    5.519958  16.102   0.676   0.847   0.390  26  26  26  27
  L101-S181        21.319  1334.682  15.547   0.013 1.76400    5.519958  14.882   0.717   0.811   0.353  42  42  32  32
  L101-S184      1222.289  1401.789  19.937   0.579 1.76400    5.519958  18.577   1.393   1.766   0.800  45  39  45  47
  L101-S185      1677.944  1411.565  18.736   0.192 1.76400    5.519958  17.382   1.407   1.777   0.814  49  49  46  46
  L101-S198      1756.931  1538.674  22.383   5.620 1.76400    5.519958  19.907   1.442   2.013   1.058  31  20  31  44
  L101-S199      1493.810  1550.219  16.704   0.031 1.76400    5.519958  16.199   0.557   0.743   0.364  53  53  51  51
  L101-S210       260.423  1638.251  21.209   2.042 1.76400    5.519958  18.875   1.393   1.791   0.885  40  36  40  47
  L101-S216      1248.353  1767.748  22.107   4.216 1.76400    5.519958  19.373   1.545   2.408   1.371  38  22  38  52
  L101-S217       128.543  1777.160  16.836   0.039 1.76400    5.519958  15.980   1.026   1.283   0.615  44  44  44  50
  L101-S219      1778.764  1861.975  15.303   0.010 1.76400    5.519958  14.656   0.697   0.812   0.390  48  48  48  49
  L101-S220       864.040  1881.680  19.408   0.365 1.76400    5.519958  17.883   1.514   2.011   1.027  46  46  46  49
  L101-S221      1875.933  1938.829  20.148   0.746 1.76400    5.519958  18.367   1.258   1.593   0.738  47  46  47  49
  L101-S222       389.506  1938.903  19.600   0.444 1.76400    5.519958  18.878   1.132   1.388   0.633  44  39  41  41
  L101-S226      1696.864  1979.517  17.350   0.059 1.76400    5.519958  16.187   1.231   1.537   0.708  49  49  49  50
  L101-S227       235.756  1975.180  19.561   0.441 1.76400    5.519958  19.324   1.581   2.183   1.170  39  23  39  46
  L101-S228       364.011  1980.006  18.700   0.205 1.76400    5.519958  17.872   0.821   0.988   0.474  46  46  46  48
  L101-S230       631.946  2039.339  18.184   0.124 1.76400    5.519958  18.015   0.796   0.916   0.434  48  48  47  47
  L101-S231      1122.498  2046.179  16.055   0.018 1.76400    5.519958  15.277   0.832   0.946   0.447  52  52  52  54
  L101-S232      1434.765  2068.351  20.592   1.085 1.76400    5.519958  18.671   1.566   2.075   1.060  51  44  51  53
  L101-S235       260.612  2140.256  17.022   0.048 1.76400    5.519958  16.377   0.662   0.773   0.380  49  49  49  53
  L101-S237       170.164  2181.798  18.002   0.111 1.76400    5.519958  16.536   1.455   2.034   1.081  47  47  47  53
  L101-S238      1616.754  2273.855  18.728   0.198 1.76400    5.519958  17.840   1.245   1.527   0.697  51  51  51  54
  L101-S241      1230.855  2505.992  19.838   0.565 1.76400    5.519958  18.539   0.844   1.059   0.507  46  46  44  44
  L101-S242      1537.252  2576.780  19.809   0.551 1.76400    5.519958  18.428   1.282   1.539   0.680  47  47  47  49
  L101-S244      1748.117  2788.301   0.000   0.000 1.76400    5.519958  19.328   1.629   2.596   1.508  52  30  49  48
  L101-S246      1653.974  3053.804  13.305   0.002 1.76400    5.519958  12.803   0.491   0.606   0.278  65  65  48  48
  L101-S249      1235.140  3184.062  19.771   0.543 1.76400    5.519958  18.778   1.154   1.489   0.693  36  36  36  37
  L101-S250      1983.395  3218.929  17.912   0.101 1.76400    5.519958  17.717   0.539   0.699   0.350  62  61  44  44
  L101-S253      1456.454  3455.096  17.590   0.080 1.76400    5.519958  17.103   0.649   0.787   0.379  53  53  50  50
  L101-S254      1415.397  3459.891  18.862   0.257 1.76400    5.519958  17.676   1.389   1.703   0.784  51  51  48  48
  L101-S283       928.885  2223.802  18.788   0.222 1.76400    5.519958  17.685   1.345   1.640   0.751  49  49  49  52
  L101-S291        61.976  2811.953  15.522   0.013 1.76400    5.519958  14.945   0.584   0.714   0.345  50  50  48  48
  L101-S295       513.006  2928.780  17.712   0.083 1.76400    5.519958  17.157   0.569   0.719   0.354  51  51  44  44
  L101-S302        39.236  3342.611  16.508   0.031 1.76400    5.519958  15.774   0.769   0.881   0.417  54  54  45  45
  L101-S303      1896.440  3361.413   0.000   0.000 1.76400    5.519958  17.434   1.311   1.693   0.794  64  64  47  47
  L101-S304       569.086  3374.490  17.786   0.097 1.76400    5.519958  17.543   0.503   0.682   0.345  51  51  42  42
  L101-S407       419.934  2428.839  19.974   0.670 1.76400    5.519958  18.738   1.640   2.638   1.539  39  35  39  47
  L101-S456      1849.319     1.000   0.000   0.000 1.76400    5.519958  15.008   0.663   0.800   0.368  23  23  23  26
