#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L101-S512      1838.992  1721.700  18.426   0.139 1.76400    5.519958  17.835   0.890   1.046   0.476  55  54  33  33
  L101-S523       372.694  3165.119  21.691   2.878 1.76400    5.519958  19.227   1.624   2.535   1.467  45  22  33  30
  L101-S525        76.149  3281.154  18.526   0.154 1.76400    5.519958  17.906   0.601   0.783   0.391  29  24  13  10
  L101-S527      1233.169  3921.846  19.273   0.302 1.76400    5.519958  18.260   1.508   1.909   0.948  36  29  33  29
  L101-S777       940.219   499.151   0.000   0.000 1.76400    5.519958  20.220   0.760   0.942   0.406  23  12  12  12
  L101-S783      1274.109   865.779  19.948   0.611 1.76400    5.519958  19.339   1.075 -80.660 -81.322  13  13   0   0
  L101-S790       717.194  1267.352  21.728   3.022 1.76400    5.519958  19.715   1.551   2.201   1.173  32  11  11  11
  L101-S829      1895.860  3560.513  19.033   0.242 1.76400    5.519958  18.884   0.776 -81.115   0.000   7   6   0   0
  L104-335        374.238   259.906  12.282   0.001 1.67900    1.852031  11.684   0.614   0.690   0.331 140 116  97  50
  L104-337        132.896   575.022  11.938   0.001 1.67900    1.852031  11.202   0.766   0.840   0.392 128 104  89  45
  L104-350        314.445  3245.732  14.273   0.004 1.67900    1.852031  13.641   0.658   0.733   0.359  98  77  98  57
  L104-444        522.919   212.372  13.935   0.004 1.67900    1.852031  13.270   0.678   0.744   0.356 110  85  83  42
  L104-454       2003.373  1989.896  12.627   0.002 1.67900    1.852031  11.927   0.743   0.834   0.405 100  81  68  41
  L104-456        616.437  2078.801  12.971   0.002 1.67900    1.852031  12.368   0.623   0.686   0.333  89  68  87  50
  L104-460       1441.910  2608.859  14.060   0.004 1.67900    1.852031  12.896   1.275   1.504   0.679  84  71  84  53
  L104-470       1089.919  3712.174  14.961   0.007 1.67900    1.852031  14.366   0.631   0.713   0.352  72  52  69  42
  L104-S5         533.913   793.974  14.326   0.005 1.67900    1.852031  13.551   0.820   0.862   0.409  90  70  77  43
  L104-S9        1059.464  3633.490  15.266   0.009 1.67900    1.852031  14.618   0.679   0.779   0.386  71  51  71  39
  L104-S68       1187.651  2191.104  15.600   0.013 1.67900    1.852031  14.808   0.854   1.021   0.475  85  66  84  44
  L104-S308       200.921  2522.608  26.132   0.000 1.67900    1.852031  20.379   1.447   2.086   1.090  20   6  20  28
  L104-S490      1802.042   256.350  15.936   0.018 1.67900    1.852031  15.414   0.563   0.705   0.360  83  63  80  41
  L104-S499      1388.642   979.473  15.484   0.012 1.67900    1.852031  14.801   0.709   0.758   0.368  82  63  82  41
  L104-335        222.803   266.733  12.167   0.001 1.15300    5.290725  11.684   0.614   0.690   0.331 140 116  97  50
  L104-350        162.270  3253.100  14.160   0.004 1.15300    5.290725  13.641   0.658   0.733   0.359  98  77  98  57
  L104-443       1958.842   215.562  16.399   0.026 1.15300    5.290725  15.387   1.296   1.605   0.751  81  63  81  43
  L104-444        371.102   219.169  13.807   0.003 1.15300    5.290725  13.270   0.678   0.744   0.356 110  85  83  42
  L104-453       1908.356  1633.864  12.833   0.002 1.15300    5.290725  12.232   0.757   0.892   0.439  98  82  78  44
  L104-454       1850.918  1996.410  12.511   0.001 1.15300    5.290725  11.927   0.743   0.834   0.405 100  81  68  41
  L104-456        464.889  2085.807  12.858   0.002 1.15300    5.290725  12.368   0.623   0.686   0.333  89  68  87  50
  L104-457       1179.588  2131.574  16.683   0.030 1.15300    5.290725  16.044   0.795   0.908   0.428  92  74  91  52
  L104-460       1289.966  2615.748  13.964   0.003 1.15300    5.290725  12.896   1.275   1.504   0.679  84  71  84  53
  L104-470        938.012  3720.003  14.844   0.006 1.15300    5.290725  14.366   0.631   0.713   0.352  72  52  69  42
  L104-S5         382.148   800.974  14.214   0.004 1.15300    5.290725  13.551   0.820   0.862   0.409  90  70  77  43
  L104-S9         907.882  3641.370  15.152   0.008 1.15300    5.290725  14.618   0.679   0.779   0.386  71  51  71  39
  L104-S68       1036.006  2197.924  15.518   0.011 1.15300    5.290725  14.808   0.854   1.021   0.475  85  66  84  44
  L104-S69        557.931  2616.876  17.112   0.043 1.15300    5.290725  16.028   1.335   1.647   0.754  63  43  63  29
  L104-S368       200.333  2425.387  15.989   0.016 1.15300    5.290725  16.283   0.893   1.001   0.468  93  68  90  52
  L104-S379      1867.644  2819.646  17.073   0.041 1.15300    5.290725  16.137   1.077   1.175   0.501  84  65  84  46
  L104-S490      1650.013   263.783  15.818   0.015 1.15300    5.290725  15.414   0.563   0.705   0.360  83  63  80  41
  L104-S494      1377.609   403.090  16.750   0.032 1.15300    5.290725  16.004   1.089   1.289   0.563  79  61  79  41
  L104-S499      1236.819   986.396  15.370   0.010 1.15300    5.290725  14.801   0.709   0.758   0.368  82  63  82  41
  L104-S525      1413.665  3239.062  16.520   0.026 1.15300    5.290725  16.097   0.622   0.759   0.378  81  62  81  42
  L104-S533      1567.870  3658.948  16.857   0.034 1.15300    5.290725  16.467   0.543   0.699   0.357  67  50  67  37
  L104-S540       994.382  3892.828  16.646   0.028 1.15300    5.290725  15.825   1.004   1.150   0.509  50  32  44  29
  L107-611       1369.318   155.019  15.050   0.007 1.36700    5.754827  14.287   0.870   0.997   0.469  87  64  87  62
  L107-612        805.119   172.069  15.051   0.007 1.36700    5.754827  14.267   0.914   1.089   0.544  83  61  83  58
  L107-614       1236.570   492.263  14.467   0.004 1.36700    5.754827  13.939   0.611   0.742   0.380  85  65  81  61
  L107-619        144.788  1027.948  12.657   0.001 1.36700    5.754827  12.121   0.625   0.766   0.386  92  70  68  48
  L107-626        272.795  1838.729  14.388   0.004 1.36700    5.754827  13.484   0.994   1.127   0.519 102  85 100  79
  L107-627        295.601  1956.922  14.019   0.003 1.36700    5.754827  13.351   0.781   0.916   0.457  92  76  87  75
  L107-636        848.636  3827.981  15.511   0.009 1.36700    5.754827  14.882   0.742   0.882   0.448  39  32  32  25
  L107-639        334.529  4068.957  14.697   0.005 1.36700    5.754827  14.185   0.657   0.805   0.381  44  36  36  30
  L107-S20        361.411  2458.272  16.683   0.023 1.36700    5.754827  15.985   0.803   0.916   0.446  62  47  60  40
  L107-S57        267.676  1670.774  17.477   0.047 1.36700    5.754827  17.517   0.138   0.229   0.165  81  65  75  56
  L107-S197      1046.276    93.444  14.222   0.004 1.36700    5.754827  13.329   1.022   1.169   0.521  84  55  84  56
  L107-S205      1299.670   152.652  17.463   0.050 1.36700    5.754827  16.890   0.814   0.959   0.478  85  60  85  58
  L107-S222       279.337   389.569  16.729   0.027 1.36700    5.754827  15.938   0.951   1.092   0.536  62  49  62  52
  L107-S250       511.430   677.148  17.111   0.036 1.36700    5.754827  16.355   0.893   1.097   0.545  82  61  77  56
  L107-S266       422.407   879.346  15.462   0.009 1.36700    5.754827  14.801   0.774   0.870   0.427  80  60  76  56
  L107-S267        93.962   898.472  16.762   0.025 1.36700    5.754827  16.101   0.735   0.863   0.431  74  56  70  51
  L107-S298       929.615  1285.247  17.050   0.034 1.36700    5.754827  16.398   0.779   0.880   0.431  76  58  74  51
  L107-S313      1314.071  1420.028  16.644   0.022 1.36700    5.754827  15.868   0.901   0.989   0.463  79  63  74  57
  L107-S319      1776.047  1510.853  17.305   0.044 1.36700    5.754827  16.638   0.931   1.151   0.541  67  51  62  44
  L107-S327      1267.265  1672.037  16.075   0.015 1.36700    5.754827  15.950   0.150   0.256   0.175  79  62  74  57
  L107-S550      1801.151    99.328  16.958   0.032 1.36700    5.754827  16.276   0.813   0.964   0.483  79  51  77  53
  L107-S563      1955.524   560.977  15.369   0.009 1.36700    5.754827  14.505   0.988   1.105   0.541  76  56  71  49
  L107-S579      1143.770   996.881  13.882   0.003 1.36700    5.754827  13.008   0.990   1.150   0.529  82  61  76  51
  L107-S589      1840.395  1284.605  16.667   0.025 1.36700    5.754827  16.245   0.517   0.659   0.340  69  56  66  48
  L107-S609      1709.474  1769.815  16.491   0.020 1.36700    5.754827  15.901   0.693   0.843   0.426  67  53  62  47
  L107-S639       742.693  2102.848  15.701   0.011 1.36700    5.754827  15.109   0.734   0.862   0.431  61  50  58  45
c L107-S682      1343.166  2571.673  16.809   0.026 1.36700    5.754827  16.280   0.710   0.890   0.436  54  41  50  37
  L107-S755      1198.391  3543.953  15.178   0.007 1.36700    5.754827  14.496   0.811   0.870   0.412  44  36  38  32
  L107-S779       400.158  3733.989  16.833   0.027 1.36700    5.754827  16.404   0.534   0.705   0.371  44  35  38  31
  L107-S782       973.352  3776.354  16.423   0.018 1.36700    5.754827  15.885   0.660   0.803   0.411  43  35  36  31
  L107-S785      1345.550  3871.169  17.280   0.039 1.36700    5.754827  16.813   0.676   0.797   0.392  38  28  30  24
  L107-S788      1173.540  3910.649  17.320   0.040 1.36700    5.754827  16.782   0.711   0.809   0.393  37  27  28  23
  L107-S789      1259.090  3967.904  16.645   0.023 1.36700    5.754827  15.994   0.832   0.966   0.463  37  26  28  23
  L107-S790       981.940  3965.915  15.218   0.007 1.36700    5.754827  14.673   0.713   0.805   0.377  37  27  28  23
  L107-S1317     1759.127  3951.112  17.065   0.034 1.36700    5.754827  16.079   1.252   1.584   0.738  35  26  28  21
  L107-611       1260.795   170.583  15.023   0.006 1.18300    8.795230  14.287   0.870   0.997   0.469  87  64  87  62
  L107-612        696.679   187.588  15.028   0.006 1.18300    8.795230  14.267   0.914   1.089   0.544  83  61  83  58
  L107-614       1128.368   507.839  14.412   0.004 1.18300    8.795230  13.939   0.611   0.742   0.380  85  65  81  61
  L107-619         36.453  1043.106  12.618   0.001 1.18300    8.795230  12.121   0.625   0.766   0.386  92  70  68  48
  L107-626        164.436  1854.001  14.341   0.004 1.18300    8.795230  13.484   0.994   1.127   0.519 102  85 100  79
  L107-627        187.251  1972.121  13.978   0.003 1.18300    8.795230  13.351   0.781   0.916   0.457  92  76  87  75
  L107-636        740.103  3843.880  15.456   0.009 1.18300    8.795230  14.882   0.742   0.882   0.448  39  32  32  25
  L107-S20        252.936  2473.971  16.643   0.022 1.18300    8.795230  15.985   0.803   0.916   0.446  62  47  60  40
  L107-S197       937.955   108.938  14.180   0.004 1.18300    8.795230  13.329   1.022   1.169   0.521  84  55  84  56
  L107-S205      1191.216   168.098  17.480   0.048 1.18300    8.795230  16.890   0.814   0.959   0.478  85  60  85  58
  L107-S222       170.912   405.097  16.741   0.026 1.18300    8.795230  15.938   0.951   1.092   0.536  62  49  62  52
  L107-S250       402.955   692.684  17.093   0.034 1.18300    8.795230  16.355   0.893   1.097   0.545  82  61  77  56
  L107-S266       313.955   894.705  15.449   0.009 1.18300    8.795230  14.801   0.774   0.870   0.427  80  60  76  56
  L107-S298       820.908  1300.700  16.969   0.030 1.18300    8.795230  16.398   0.779   0.880   0.431  76  58  74  51
  L107-S313      1205.768  1435.192  16.618   0.022 1.18300    8.795230  15.868   0.901   0.989   0.463  79  63  74  57
  L107-S319      1667.268  1526.003  17.435   0.045 1.18300    8.795230  16.638   0.931   1.151   0.541  67  51  62  44
  L107-S327      1158.987  1687.168  16.011   0.014 1.18300    8.795230  15.950   0.150   0.256   0.175  79  62  74  57
  L107-S550      1692.962   114.933  16.919   0.031 1.18300    8.795230  16.276   0.813   0.964   0.483  79  51  77  53
  L107-S563      1846.927   576.310  15.335   0.008 1.18300    8.795230  14.505   0.988   1.105   0.541  76  56  71  49
  L107-S579      1035.522  1012.126  13.840   0.003 1.18300    8.795230  13.008   0.990   1.150   0.529  82  61  76  51
  L107-S589      1731.930  1299.977  16.563   0.021 1.18300    8.795230  16.245   0.517   0.659   0.340  69  56  66  48
  L107-S596      1938.929  1481.383  15.967   0.013 1.18300    8.795230  15.332   0.777   0.877   0.426  71  56  66  48
  L107-S609      1601.007  1784.937  16.426   0.019 1.18300    8.795230  15.901   0.693   0.843   0.426  67  53  62  47
  L107-S630      1932.469  2062.016  16.876   0.028 1.18300    8.795230  16.364   0.706   0.844   0.417  62  47  57  46
  L107-S639       634.265  2118.148  15.620   0.010 1.18300    8.795230  15.109   0.734   0.862   0.431  61  50  58  45
  L107-S682      1234.245  2586.973  16.752   0.025 1.18300    8.795230  16.280   0.710   0.890   0.436  54  41  50  37
  L107-S755      1089.331  3559.961  15.140   0.007 1.18300    8.795230  14.496   0.811   0.870   0.412  44  36  38  32
  L107-S779       291.862  3749.907  16.717   0.024 1.18300    8.795230  16.404   0.534   0.705   0.371  44  35  38  31
  L107-S782       864.561  3792.162  16.377   0.018 1.18300    8.795230  15.885   0.660   0.803   0.411  43  35  36  31
