# Center : 156.006559445 -57.7522222222    
# Center : 10:24:01.57 -57:45:08           
#                                arcmin  arcmin mag      mag    mag     mag   mag   mag   mag   mag V I B U DI    mag     mag     mag     mag    mag    mag               
#   ID ID_aex    xc       yc      R.A.    I.E.C. V        V-I   B-V     U-B    eV  e(V-I)e(B-V)e(U-B)Nobs---charac J      J-H     H-Ks    eJ   e(J-H)e(H-Ks)2mass name    
     1  16988 1551.325  -22.048  -9.935   1.365 22.177   .000  1.564   .000  .032  .000  .079  .000 1 0 1 0                                                                  
     2  16989 1655.164  -20.532  -9.933   1.832 22.234   .000  2.007   .000  .032  .000  .082  .000 1 0 1 0                                                                  
     3  16992 1670.636  -16.713  -9.917   1.901 18.927   .000  2.377   .851  .005  .000  .010  .082 1 0 1 1      13.400  1.063   .433   .026   .035   .034 10224728-5743139  
     4  16995 1490.486  -15.374  -9.902   1.092 21.455   .000  1.759   .000  .017  .000  .040  .000 1 0 1 0                                                                  
     5  16998 1416.054  -13.830  -9.891    .758 20.251   .000  1.264   .000  .008  .000  .014  .000 1 0 1 0                                                                  
     6  16990  871.827  -19.196  -9.887  -1.685 22.431   .000  1.873   .000  .034  .000  .086  .000 1 0 1 0                                                                  
     7  17000 1438.730  -11.694  -9.883    .860 20.575   .000  1.381   .000  .005  .000  .016  .000 1 0 1 0                                                                  
     8  17015 1923.759   -4.359  -9.874   3.040 19.548   .000  1.286   .647  .003  .000  .004  .045 1 0 1 1      16.430   .000   .000   .124 -9.999 -9.999 10224765-5742056  
     9  17005 1546.800   -8.309  -9.873   1.345 20.805   .000  1.532   .000  .007  .000  .023  .000 1 0 1 0                                                                  
    10  16997  988.476  -14.238  -9.871  -1.162 22.649   .000  1.612   .000  .040  .000  .092  .000 1 0 1 0                                                                  
    11  16993  755.950  -16.234  -9.868  -2.204 21.744   .000  2.087   .000  .024  .000  .069  .000 1 0 1 0                                                                  
    12  16996  885.667  -14.586  -9.867  -1.623 17.916   .000   .999   .625  .001  .000  .002  .016 1 0 1 1      16.010   .661   .011   .078   .132   .194 10224754-5746454  
    13  16991  539.488  -17.457  -9.862  -3.173 20.135   .000  1.444   .000  .006  .000  .013  .000 1 0 1 0                                                                  
    14  17547  652.216  -15.143  -9.857  -2.669 15.392   .000   .563   .071  .002  .000  .002  .002 1 0 1 1      14.188   .316   .053   .036   .050   .068 10224757-5747481  
    15  17019 1798.081   -1.728  -9.856   2.475 20.177   .000  1.795   .000  .004  .000  .016  .000 1 0 1 0      15.974   .997  -.052   .082   .105   .150 10224774-5742395  
    16  17006 1172.772   -7.970  -9.852   -.334 21.894   .000  1.480   .000  .022  .000  .040  .000 1 0 1 0                                                                  
    17  17017 1530.428   -2.930  -9.848   1.272 19.218   .000  1.168  1.300  .015  .000  .023  .053 1 0 1 1                                                                  
    18  17018 1555.993   -2.632  -9.848   1.387 22.424   .000  1.472   .000  .036  .000  .077  .000 1 0 1 0                                                                  
    19  17008 1160.876   -6.225  -9.844   -.388 19.764   .000  1.185   .912  .004  .000  .010  .078 1 0 1 1                                                                  
    20      1 1713.812    1.893  -9.836   2.096 21.874  2.351  1.805   .000  .022  .028  .047  .000 1 1 1 0                                                                  
    21  17014 1090.431   -4.783  -9.834   -.704 21.804   .000  1.668   .000  .021  .000  .049  .000 1 0 1 0                                                                  
    22  17013  876.570   -4.902  -9.823  -1.663 20.753   .000  1.414   .000  .007  .000  .017  .000 1 0 1 0                                                                  
    23  17552 1962.450    8.619  -9.818   3.214 15.431   .000   .634   .027  .001  .000  .003  .005 1 0 1 1      14.007   .333   .040   .034   .052   .063 10224805-5741551  
    24  18498  329.396   -9.534  -9.816  -4.113 13.790   .000   .184  -.109  .005  .000  .016  .015 1 0 1 1                                                                  
    25  17548  428.367   -6.568  -9.807  -3.670 16.111   .000   .763   .335  .000  .000  .002  .003 1 0 1 1      14.280   .366   .117   .033   .045   .056 10224792-5748481  
    26  17002   92.078  -10.315  -9.807  -5.173 19.110   .000  1.095   .655  .003  .000  .004  .003 1 0 1 1                                                                  
    27  17003   82.417   -9.847  -9.804  -5.216 21.233   .000  2.345   .000  .011  .000  .049  .000 1 0 1 0      14.769   .917   .570   .044   .057   .060 10224788-5750208  
    28  17021  812.530    -.961  -9.802  -1.950 20.822   .000  1.548   .000  .008  .000  .022  .000 1 0 1 0                                                                  
    29  17549  925.014     .386  -9.802  -1.446 16.097   .000   .610   .503  .001  .000  .001  .001 1 0 1 1      14.585   .302   .136   .036   .055   .069 10224803-5746347  
    30  17010  362.264   -5.797  -9.800  -3.966 18.994   .000  1.471   .618  .005  .000  .013  .028 1 0 1 1                                                                  
    31     17 1630.979    9.741  -9.796   1.724 20.312  2.013  1.496   .000  .008  .013  .017  .000 1 1 1 0                                                                  
    32  17007  126.799   -7.373  -9.795  -5.017 22.369   .000  1.737   .000  .034  .000  .090  .000 1 0 1 0                                                                  
    33  17550 1259.408    7.268  -9.788    .055 16.433   .000   .802   .399  .003  .000  .004  .004 1 0 1 1      14.785   .429   .129   .038   .058   .080 10224820-5745046  
    34     43 1950.478   15.254  -9.787   3.160 19.502  1.389  1.167   .926  .005  .009  .007  .054 1 1 1 1                                                                  
    35     29 1740.584   12.949  -9.787   2.217 20.494  1.696  1.369  1.073  .006  .012  .015  .127 1 1 1 1                                                                  
    36     25 1164.336   11.597  -9.764   -.372 22.304  2.793  2.013   .000  .028  .030  .090  .000 1 1 1 0                                                                  
    37  17554 1329.163   14.381  -9.760    .368 15.349   .000   .887   .461  .002  .000  .005  .006 1 0 1 1      13.489   .447   .100   .037   .057   .059 10224842-5744458  
    38     42 1346.768   15.314  -9.757    .447 20.460  1.869  1.527   .000  .009  .015  .017  .000 1 1 1 0                                                                  
    39  17340 2024.749   23.895  -9.752   3.495 16.929  2.029  1.489   .471  .004  .011  .009  .009 1 1 1 1      13.249   .533   .305   .036   .056   .058 10224857-5741383  
    40      3  203.928    3.889  -9.749  -4.673 21.531  2.584  1.745   .000  .021  .069  .039  .000 1 1 1 0                                                                  
    41  17551  587.585    8.406  -9.748  -2.957 15.888   .000   .601   .291  .002  .000  .004  .009 1 0 1 1      14.391   .280   .051   .041   .066   .084 10224838-5748054  
    42     35 1080.791   14.138  -9.748   -.747 21.265  2.357  1.491   .000  .012  .015  .028  .000 1 1 1 0                                                                  
    43     55 1707.048   21.469  -9.747   2.066 20.114  2.169  1.688  1.014  .011  .013  .018  .104 1 1 1 1      15.982   .634   .035   .084   .125   .199 10224857-5743041  
    44     46 1218.338   16.281  -9.746   -.129 19.789  2.336  1.918   .000  .005  .006  .010  .000 1 1 1 0      15.365   .804   .329   .068   .092   .100 10224849-5745159  
    45     36 1023.888   14.180  -9.745  -1.002 22.247  2.203  1.578   .000  .026  .032  .070  .000 1 1 1 0                                                                  
    46  17555 1460.459   19.930  -9.742    .958 15.771   .000  1.342   .705  .003  .000  .004  .004 1 0 1 1      12.322   .475   .274   .023   .033   .030 10224857-5744104  
    47  17553  537.850   11.502  -9.732  -3.180 15.842   .000   .621   .401  .002  .000  .004  .003 1 0 1 1      14.324   .204   .000   .064   .104 -9.999 10224850-5748187  
    48     51  915.791   17.526  -9.725  -1.486 22.520  2.672  1.619   .000  .045  .047  .095  .000 1 1 1 0                                                                  
    49     67 1484.406   26.332  -9.714   1.066 20.439  2.182  1.607   .000  .004  .006  .017  .000 1 1 1 0      16.607   .911   .369   .153   .211   .226 10224878-5744041  
    50     72 1533.222   27.568  -9.711   1.285 20.054  1.674  1.301  1.095  .003  .004  .009  .064 1 1 1 1                                                                  
    51     41  453.591   15.339  -9.710  -3.556 20.078  1.811  1.411   .000  .003  .010  .012  .000 1 1 1 0                                                                  
    52     34  152.857   14.196  -9.700  -4.900 21.957  2.734  2.072   .000  .024  .031  .077  .000 1 1 1 0                                                                  
    53     81 1520.373   30.689  -9.696   1.228 21.414  1.890  1.507   .000  .017  .017  .036  .000 1 1 1 0                                                                  
    54     88 1827.329   34.538  -9.695   2.607 21.671  2.157  1.641   .000  .021  .024  .053  .000 1 1 1 0                                                                  
    55     54  415.518   18.683  -9.693  -3.727 21.695  2.270  1.603   .000  .025  .025  .052  .000 1 1 1 0                                                                  
    56  17556  546.793   20.326  -9.693  -3.139 16.418   .990   .756   .302  .003  .010  .007  .006 1 1 1 1      14.665   .233   .000   .043   .071 -9.999 10224879-5748163  
    57     82 1507.720   31.812  -9.691   1.171 18.808  1.957  1.483   .836  .004  .004  .009  .024 1 1 1 1      15.234   .599   .200   .064   .088   .104 10224897-5743577  
    58  17558 1631.408   33.711  -9.689   1.727 16.593   .986   .705   .487  .001  .014  .007  .007 1 1 1 1      14.779   .239   .207   .030   .057   .083 10224899-5743244  
    59     60  384.974   24.238  -9.667  -3.863 22.107  2.760  1.619   .000  .029  .031  .065  .000 1 1 1 0                                                                  
    60     66  523.391   26.015  -9.666  -3.244 18.738  1.372  1.126  1.049  .002  .005  .006  .006 1 1 1 1      16.203   .506   .318   .099   .163   .221 10224903-5748222  
    61  17025  863.035   30.152  -9.665  -1.723 19.298  3.700  2.642  -.145  .010  .010  .019  .072 1 1 1 1      12.566   .961   .514   .024   .033   .030 10224905-5746513  
    62     73  589.525   27.744  -9.662  -2.948 18.962  1.568  1.187   .388  .006  .008  .007  .044 1 1 1 1      16.150   .612   .000   .098   .147 -9.999 10224904-5748048  
    63     79  619.691   29.704  -9.654  -2.813 20.335  1.913  1.475   .000  .005  .007  .015  .000 1 1 1 0                                                                  
    64  17341 2005.780   45.560  -9.654   3.410 16.840  1.140   .993   .900  .004  .005  .008  .010 1 1 1 1      14.805   .522   .267   .110   .140   .750 10224930-5741434  
    65     59   51.766   23.712  -9.652  -5.351 21.865  2.683  1.796   .000  .028  .033  .071  .000 1 1 1 0                                                                  
    66    106 1461.360   40.126  -9.651    .963 19.534  1.483  1.113   .397  .004  .005  .004  .012 1 1 1 1                                                                  
    67  17557  302.662   26.972  -9.650  -4.231 16.361  1.137   .817   .458  .004  .014  .004  .003 1 1 1 1      14.271   .000   .000   .055 -9.999 -9.999 10224908-5749219  
    68    101 1084.112   38.012  -9.641   -.731 21.970  2.211  1.663   .000  .025  .026  .051  .000 1 1 1 0                                                                  
    69  17559 1184.795   39.898  -9.638   -.279 15.263   .746   .581   .286  .001  .003  .002  .002 1 1 1 1      13.888   .184   .170   .038   .057   .064 10224931-5745247  
    70     78  239.306   29.972  -9.634  -4.514 19.729  1.789  1.355   .686  .003  .019  .009  .041 1 1 1 1                                                                  
    71    111 1143.991   41.325  -9.629   -.462 20.094  2.252  1.542   .000  .008  .008  .014  .000 1 1 1 0                                                                  
    72    131 1740.001   49.538  -9.623   2.215 22.201  2.166  1.860   .000  .032  .036  .092  .000 1 1 1 0                                                                  
    73    105  850.177   39.953  -9.620  -1.780 20.696  2.026  1.598   .000  .016  .017  .025  .000 1 1 1 0                                                                  
    74    140 1786.531   51.605  -9.616   2.424 19.675  1.753  1.440  1.321  .002  .003  .009  .087 1 1 1 1                                                                  
    75    118 1172.012   44.926  -9.615   -.336 17.516  1.089   .919   .653  .002  .007  .005  .011 1 1 1 1                                                                  
    76     93  376.231   35.890  -9.614  -3.902 20.970  2.082  1.484   .000  .002  .009  .021  .000 1 1 1 0                                                                  
    77  17560 1344.317   47.614  -9.611    .437 15.370   .713   .595   .080  .001  .007  .001  .002 1 1 1 1      14.147   .321   .121   .037   .052   .056 10224953-5744417  
    78    104  619.847   39.341  -9.611  -2.812 18.514  1.822  1.435  1.401  .003  .006  .005  .028 1 1 1 1      15.494   .528   .400   .059   .097   .120 10224943-5747565  
    79    110  762.706   41.231  -9.610  -2.172 22.504  2.669  1.662   .000  .037  .037  .088  .000 1 1 1 0                                                                  
    80    127 1254.519   47.931  -9.605    .034 16.934   .980   .844   .395  .007  .009  .007  .004 1 1 1 1      15.241   .437  -.012   .045   .071   .122 10224957-5745059  
    81    157 1748.953   56.158  -9.594   2.256 19.193  1.553  1.233   .682  .005  .010  .008  .018 1 1 1 1                                                                  
    82    152 1430.435   54.795  -9.584    .824 20.946  2.306  1.842   .000  .011  .013  .030  .000 1 1 1 0                                                                  
    83    161 1652.734   57.625  -9.582   1.823 20.948  2.348  1.618   .000  .001  .009  .025  .000 1 1 1 0                                                                  
    84    150 1354.019   54.490  -9.581    .481 18.522  1.293  1.115   .784  .001  .005  .007  .014 1 1 1 1                                                                  
    85    128  828.966   49.155  -9.578  -1.875 23.016   .191   .195   .000  .062  .201  .071  .000 1 1 1 0                                                                  
    86    168 1663.102   58.961  -9.577   1.870 20.866  2.689  2.103   .000  .008  .011  .032  .000 1 1 1 0      15.958   .973   .505   .085   .120   .113 10224982-5743157  
    87  17561  781.559   48.929  -9.577  -2.087 16.122   .932   .677   .467  .001  .001  .002  .005 1 1 1 1      14.452   .263   .177   .030   .052   .067 10224970-5747132  
    88    162 1502.261   58.074  -9.573   1.147 17.382  1.051   .937   .755  .003  .005  .004  .004 1 1 1 1      15.545   .000   .000   .061 -9.999 -9.999 10224984-5743590  
    89    167 1516.882   58.986  -9.569   1.213 20.546  2.132  1.618   .000  .002  .010  .014  .000 1 1 1 0      16.525   .000   .000   .129 -9.999 -9.999 10224986-5743552  
    90    182 1362.123   62.900  -9.544    .518 21.576  2.266  1.559   .000  .017  .020  .042  .000 1 1 1 0                                                                  
    91    181 1280.707   62.527  -9.541    .152 20.710  2.918  2.326   .000  .004  .004  .039  .000 1 1 1 0      15.367   .948   .477   .055   .081   .074 10225005-5744588  
    92    190 1408.410   66.549  -9.530    .726 18.644  1.303  1.129   .862  .000  .002  .001  .010 1 1 1 1      16.430   .544   .000   .111   .196 -9.999 10225016-5744247  
    93    163  656.787   58.172  -9.529  -2.646 19.297  1.639  1.256   .843  .002  .004  .004  .035 1 1 1 1      16.471   .000   .000   .134 -9.999 -9.999 10224999-5747469  
    94    173  869.077   61.081  -9.527  -1.694 21.783  2.813  2.233   .000  .016  .016  .077  .000 1 1 1 0      16.400   .548   .000   .116   .192 -9.999 10225009-5746496  
    95    206 1778.045   72.915  -9.520   2.387 20.629  1.796  1.428   .000  .003  .007  .014  .000 1 1 1 0                                                                  
    96    189 1097.242   66.291  -9.515   -.671 21.128  2.155  1.669   .000  .016  .016  .031  .000 1 1 1 0                                                                  
    97  17564 1850.017   75.286  -9.513   2.711 16.350   .848   .715   .218  .004  .007  .006  .006 1 1 1 1      15.006   .404   .166   .051   .077   .102 10225035-5742253  
    98    193 1150.947   67.613  -9.512   -.430 22.130  2.760  1.752   .000  .025  .025  .072  .000 1 1 1 0                                                                  
    99    195 1121.331   68.152  -9.508   -.563 20.419  1.683  1.403   .000  .005  .006  .015  .000 1 1 1 0                                                                  
   100    158   38.803   56.412  -9.505  -5.408 18.898  1.386  1.112   .697  .002  .005  .010  .024 1 1 1 1      16.713   .000   .000   .147 -9.999 -9.999 10225013-5750326  
   101    213 1578.829   74.003  -9.505   1.492 17.187   .955   .850   .517  .005  .006  .006  .004 1 1 1 1      15.613   .000   .000   .066 -9.999 -9.999 10225038-5743383  
   102    215 1541.980   74.675  -9.500   1.326 22.054  2.088  1.759   .000  .033  .033  .062  .000 1 1 1 0                                                                  
   103    231 1801.529   77.595  -9.500   2.493 18.000  1.536  1.279  1.370  .004  .004  .008  .008 1 1 1 1      15.615   .845   .200   .071   .100   .124 10225044-5742384  
   104  17562  765.584   67.350  -9.493  -2.158 15.923  1.131   .869   .305  .002  .003  .005  .010 1 1 1 1      13.987   .463   .138   .032   .047   .050 10225034-5747173  
   105    174  177.878   61.329  -9.490  -4.787 18.057  1.222  1.047   .949  .001  .001  .008  .019 1 1 1 1      16.091   .614   .364   .089   .135   .176 10225028-5749550  
   106    192  677.731   67.228  -9.489  -2.552 19.731  1.756  1.448  1.121  .008  .009  .011  .063 1 1 1 1                                                                  
   107    222 1412.961   75.815  -9.488    .747 19.569  1.553  1.255   .818  .004  .008  .004  .047 1 1 1 1                                                                  
   108  18164  771.350   68.513  -9.488  -2.132 19.268  1.530  1.213   .000  .014  .014  .024  .000 1 1 1 0                                                                  
   109    194  687.084   67.899  -9.487  -2.510 18.752  1.326  1.085   .722  .003  .007  .006  .006 1 1 1 1      16.627   .749   .000   .192   .301 -9.999 10225037-5747390  
   110    243 1651.063   79.584  -9.483   1.817 21.380  2.205  1.648   .000  .021  .022  .035  .000 1 1 1 0                                                                  
   111    221 1264.768   75.676  -9.481    .081 19.592  1.572  1.230   .590  .006  .007  .010  .032 1 1 1 1                                                                  
   112    199  716.625   70.343  -9.477  -2.377 21.615  2.196  1.515   .000  .018  .020  .041  .000 1 1 1 0                                                                  
   113    211  963.132   73.314  -9.476  -1.272 20.864  2.651  1.972   .000  .012  .018  .031  .000 1 1 1 0      16.058   .900   .217   .081   .108   .144 10225049-5746242  
   114  17342  349.629   67.196  -9.472  -4.020 16.769   .949   .763   .192  .003  .006  .004  .003 1 1 1 1      15.235   .514   .063   .070   .092   .121 10225044-5749092  
   115    203  737.502   71.783  -9.472  -2.284 22.096  2.520  1.770   .000  .021  .031  .063  .000 1 1 1 0                                                                  
   116    235 1274.862   78.101  -9.471    .127 22.053  2.426  1.655   .000  .025  .027  .069  .000 1 1 1 0                                                                  
   117    239 1183.360   78.865  -9.463   -.284 18.290  1.609  1.335   .939  .004  .006  .012  .012 1 1 1 1      15.499   .753   .240   .058   .085   .105 10225063-5745251  
   118    205  574.238   72.189  -9.461  -3.015 22.687  2.426  1.614   .000  .042  .042  .102  .000 1 1 1 0                                                                  
   119    253 1302.049   82.913  -9.451    .249 21.948  2.281  1.695   .000  .024  .029  .060  .000 1 1 1 0                                                                  
   120  17026  245.082   71.187  -9.449  -4.487 22.572   .000  1.599   .000  .045  .000  .085  .000 1 0 1 0                                                                  
   121    246 1048.556   80.470  -9.449   -.889 20.232  1.563  1.273   .663  .003  .004  .012  .063 1 1 1 1                                                                  
   122  17344 1371.117   85.495  -9.443    .559 16.530  1.315  1.103  1.084  .001  .007  .001  .002 1 1 1 1      14.343   .609   .161   .030   .049   .051 10225081-5744344  
   123    227  487.917   77.012  -9.435  -3.401 21.399  2.113  1.642   .000  .015  .017  .046  .000 1 1 1 0                                                                  
   124  18165  623.444   78.652  -9.435  -2.794 18.474  1.345  1.197   .000  .002  .002  .028  .000 1 1 1 0                                                                  
   125    247  744.447   80.478  -9.433  -2.252 22.455  3.109  1.809   .000  .035  .036  .084  .000 1 1 1 0                                                                  
   126    208   76.805   73.116  -9.432  -5.238 21.928  2.630  1.886   .000  .023  .023  .066  .000 1 1 1 0                                                                  
   127    281 1579.133   90.758  -9.430   1.494 21.814  2.229  1.770   .000  .023  .027  .063  .000 1 1 1 0                                                                  
   128    258  993.287   84.481  -9.428  -1.137 20.648  1.963  1.526   .000  .010  .012  .020  .000 1 1 1 0                                                                  
   129    240  511.368   79.055  -9.427  -3.296 20.240  1.759  1.387   .807  .007  .010  .012  .085 1 1 1 1                                                                  
   130  17345 1204.781   87.753  -9.424   -.188 16.682  1.146   .890   .336  .000  .006  .002  .002 1 1 1 1      14.690   .411   .049   .044   .076   .101 10225092-5745192  
   131    270 1294.098   88.775  -9.424    .213 22.024  2.814  1.650   .000  .026  .031  .064  .000 1 1 1 0                                                                  
   132    274 1397.271   90.162  -9.423    .677 18.541  1.276   .978   .281  .004  .006  .006  .009 1 1 1 1      16.480   .000   .000   .160 -9.999 -9.999 10225096-5744274  
   133  17566 1864.498   95.483  -9.423   2.776 15.342  1.481  1.342  1.262  .002  .004  .004  .004 1 1 1 1      12.699   .643   .196   .026   .039   .036 10225101-5742214  
   134  17343  623.970   82.725  -9.417  -2.792 15.890   .848   .681   .172  .003  .004  .009  .009 1 1 1 1      14.363   .349   .131   .042   .067   .075 10225086-5747554  
   135    230  180.077   77.855  -9.416  -4.777 20.531  1.824  1.462   .000  .004  .006  .015  .000 1 1 1 0                                                                  
   136    292 1675.368   94.940  -9.416   1.926 22.391  2.319  1.622   .000  .030  .032  .074  .000 1 1 1 0                                                                  
   137    269 1080.268   88.571  -9.414   -.746 17.882  1.212  1.050   .938  .001  .005  .004  .011 1 1 1 1      15.793   .444   .225   .066   .112   .163 10225098-5745528  
   138    305 1778.442   97.950  -9.407   2.390 21.951  2.308  1.792   .000  .028  .030  .060  .000 1 1 1 0                                                                  
   139    262  671.793   86.254  -9.403  -2.578 21.720  2.403  1.520   .000  .021  .022  .044  .000 1 1 1 0                                                                  
   140    275 1009.828   90.196  -9.403  -1.062 18.779  1.959  1.514  1.230  .002  .003  .004  .034 1 1 1 1      15.661   .600   .373   .075   .114   .144 10225107-5746117  
   141    311 1667.697  100.100  -9.392   1.892 21.014  2.604  1.576   .000  .011  .012  .028  .000 1 1 1 0                                                                  
   142    288 1127.108   94.259  -9.391   -.536 19.914  1.585  1.290  1.368  .000  .006  .010  .087 1 1 1 1                                                                  
   143    280  810.866   90.705  -9.390  -1.954 19.310  2.106  1.574  1.060  .006  .007  .010  .048 1 1 1 1      15.439   .532   .161   .051   .078   .127 10225110-5747051  
   144    276  633.448   90.207  -9.384  -2.749 20.827  2.506  1.953   .000  .009  .012  .033  .000 1 1 1 0                                                                  
   145    317 1690.429  102.523  -9.382   1.994 21.736  2.787  2.174   .000  .019  .020  .072  .000 1 1 1 0                                                                  
   146    268  348.120   87.962  -9.379  -4.026 20.063  1.615  1.311  1.060  .006  .013  .012  .069 1 1 1 1                                                                  
   147    306 1003.852   98.246  -9.367  -1.089 21.889  2.552  1.783   .000  .024  .026  .063  .000 1 1 1 0                                                                  
   148    296  744.151   95.643  -9.365  -2.253 21.920  2.808  1.955   .000  .020  .026  .055  .000 1 1 1 0                                                                  
   149    329 1491.962  104.648  -9.363   1.102 20.212  2.278  1.755   .000  .006  .007  .015  .000 1 1 1 0      16.079   .835   .494   .113   .140   .146 10225144-5744017  
   150  18166  690.567   95.539  -9.363  -2.493 14.526   .691   .537   .106  .000  .003  .000  .005 1 1 1 1      13.362   .219   .212   .027   .052   .066 10225128-5747376  
   151  17565  288.226   91.096  -9.362  -4.293 16.343   .943   .767   .217  .002  .003  .003  .003 1 1 1 1      14.751   .332   .091   .026   .040   .071 10225125-5749255  
   152    351 2032.362  110.994  -9.361   3.532 20.860  2.403  1.800   .000  .007  .010  .023  .000 1 1 1 0      16.251   .000   .000   .114 -9.999 -9.999 10225151-5741363  
   153    300  526.326   96.911  -9.348  -3.228 20.076  1.676  1.385  1.311  .002  .005  .011  .104 1 1 1 1                                                                  
   154    319  901.471  102.957  -9.340  -1.548 19.939  1.921  1.529  1.335  .001  .003  .013  .103 1 1 1 1                                                                  
   155    315  763.619  101.510  -9.340  -2.166 21.786  2.381  1.840   .000  .024  .024  .055  .000 1 1 1 0                                                                  
   156    321  777.896  103.268  -9.332  -2.102 20.401  1.844  1.486   .000  .003  .005  .014  .000 1 1 1 0                                                                  
   157  17567  459.485  100.952  -9.327  -3.527 15.111   .883   .697   .184  .003  .003  .003  .005 1 1 1 1      13.682   .434   .086   .027   .040   .041 10225154-5748395  
   158    326  724.653  104.464  -9.324  -2.340 17.379  1.370  1.012   .701  .002  .002  .003  .005 1 1 1 1      14.955   .349   .289   .047   .074   .099 10225158-5747283  
   159    343 1085.236  108.746  -9.324   -.723 22.216  2.576  1.952   .000  .033  .035  .082  .000 1 1 1 0                                                                  
   160  17346 1252.075  110.939  -9.322    .025 16.748   .938   .768   .230  .004  .004  .004  .004 1 1 1 1      15.255   .540   .161   .060   .083   .103 10225169-5745065  
   161    361 1310.220  112.846  -9.317    .286 17.731  1.021   .868   .418  .001  .003  .005  .006 1 1 1 1      15.889   .277   .267   .066   .147   .213 10225173-5744507  
   162    379 1917.508  120.598  -9.312   3.016 20.947  2.541  1.804   .000  .011  .012  .027  .000 1 1 1 0      16.486   .992   .430   .134   .164   .186 10225186-5742070  
   163    376 1670.071  118.250  -9.311   1.903 19.346  1.566  1.230   .500  .004  .007  .006  .042 1 1 1 1      16.591   .000   .000   .134 -9.999 -9.999 10225187-5743139  
   164    342  805.448  108.535  -9.310  -1.978 21.225  2.240  1.783   .000  .013  .014  .039  .000 1 1 1 0                                                                  
   165    328  481.492  104.852  -9.310  -3.429 19.073  1.555  1.307  1.200  .004  .010  .006  .034 1 1 1 1      16.392   .358   .000   .121   .473 -9.999 10225161-5748338  
   166    366 1385.414  115.144  -9.310    .624 19.363  1.602  1.292  1.482  .015  .026  .017  .069 1 1 1 1      16.352   .615   .000   .112   .172 -9.999 10225177-5744303  
   167    383 1832.481  122.275  -9.301   2.633 22.511  2.677  1.597   .000  .035  .036  .090  .000 1 1 1 0                                                                  
   168  17568 1158.237  117.220  -9.289   -.396 15.941   .846   .690   .169  .004  .004  .004  .006 1 1 1 1      14.544   .340   .071   .037   .070   .089 10225192-5745317  
   169  18168  869.336  114.750  -9.286  -1.692 14.217   .709   .552   .033  .002  .004  .002  .005 1 1 1 1      13.049   .279   .043   .027   .038   .040 10225191-5746495  
   170    364  755.853  113.523  -9.285  -2.200 22.096  2.483  1.961   .000  .021  .022  .074  .000 1 1 1 0                                                                  
   171    344   64.424  108.947  -9.271  -5.292 21.956  2.516  1.735   .000  .031  .033  .068  .000 1 1 1 0                                                                  
   172  17027  819.891  118.932  -9.264  -1.913 17.327  1.796  1.249   .542  .001  .005  .001  .005 1 1 1 1      14.109   .409   .270   .039   .069   .071 10225205-5747027  
   173  17347 1878.546  131.383  -9.262   2.841 16.714  1.378  1.126   .712  .005  .005  .007  .005 1 1 1 1      14.311   .593   .125   .041   .079   .089 10225223-5742175  
   174    350   49.581  111.071  -9.260  -5.358 21.785  2.390  1.837   .000  .024  .035  .071  .000 1 1 1 0                                                                  
   175  18170 1175.940  125.028  -9.255   -.316 13.799   .821   .655   .145  .002  .003  .002  .006 1 1 1 1      12.452   .364   .076   .048   .070   .074 10225219-5745269  
   176    368  401.550  116.675  -9.253  -3.786 21.588  2.156  1.587   .000  .017  .017  .037  .000 1 1 1 0                                                                  
   177    414 1635.728  131.029  -9.251   1.749 21.788  2.154  1.593   .000  .021  .021  .050  .000 1 1 1 0                                                                  
   178    421 1817.199  133.316  -9.250   2.565 22.435  2.839  1.537   .000  .042  .044  .072  .000 1 1 1 0                                                                  
   179  17571 1851.521  135.846  -9.241   2.719 14.949   .531   .407   .181  .002  .003  .002  .001 1 1 1 1      14.036   .200   .087   .034   .047   .064 10225238-5742248  
   180    415 1359.182  131.011  -9.238    .507 22.614  2.594  1.423   .000  .044  .045  .098  .000 1 1 1 0                                                                  
   181    396  880.882  126.271  -9.234  -1.639 20.215  1.840  1.422   .000  .015  .016  .026  .000 1 1 1 0                                                                  
   182    371   77.278  117.574  -9.233  -5.234 17.680  1.332  1.070   .637  .007  .008  .009  .013 1 1 1 1      15.414   .339   .442   .069   .106   .134 10225219-5750220  
   183    441 1930.809  138.778  -9.231   3.076 22.393  2.721  1.658   .000  .033  .035  .080  .000 1 1 1 0                                                                  
   184  18172 1194.406  130.832  -9.230   -.233 13.396   .707   .586   .065  .001  .003  .002  .006 1 1 1 1      12.219   .305   .058   .079   .112   .102 10225238-5745219  
   185    433 1624.401  136.690  -9.225   1.699 21.125  2.092  1.662   .000  .013  .018  .025  .000 1 1 1 0                                                                  
   186    398  690.127  126.687  -9.223  -2.494 19.040  1.464  1.211  1.119  .003  .003  .006  .032 1 1 1 1      16.732   .715   .000   .139   .218 -9.999 10225237-5747375  
   187    393  435.521  124.982  -9.217  -3.634 21.543  2.967  2.144   .000  .016  .016  .059  .000 1 1 1 0      16.220   .866   .564   .099   .131   .136 10225235-5748460  
   188    450 1781.521  141.498  -9.212   2.405 19.309  1.377  1.092   .715  .003  .009  .006  .028 1 1 1 1      16.548   .000   .000   .117 -9.999 -9.999 10225260-5742437  
   189    452 1810.740  142.041  -9.211   2.536 21.790  2.022  1.643   .000  .019  .020  .044  .000 1 1 1 0                                                                  
