#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L101-S523       374.282  3167.410  18.204   0.135 1.74000    5.474119  19.227   1.624   2.535   1.467  45  22  33  30
  L101-S525        78.417  3284.395  17.368   0.059 1.74000    5.474119  17.906   0.601   0.783   0.391  29  24  13  10
  L101-S527      1235.411  3925.102  17.673   0.079 1.74000    5.474119  18.260   1.508   1.909   0.948  36  29  33  29
  L101-S777       942.502   501.228  20.631   1.250 1.74000    5.474119  20.220   0.760   0.942   0.406  23  12  12  12
  L101-S790       717.813  1266.120  19.267   0.343 1.74000    5.474119  19.715   1.551   2.201   1.173  32  11  11  11
  L104-335        373.772   258.159  11.307   0.001 1.70100    1.806195  11.684   0.614   0.690   0.331 140 116  97  50
  L104-350        313.977  3244.058  13.268   0.002 1.70100    1.806195  13.641   0.658   0.733   0.359  98  77  98  57
  L104-444        522.160   210.731  12.906   0.002 1.70100    1.806195  13.270   0.678   0.744   0.356 110  85  83  42
  L104-454       2003.020  1988.277  11.564   0.001 1.70100    1.806195  11.927   0.743   0.834   0.405 100  81  68  41
  L104-456        616.006  2077.080  12.000   0.001 1.70100    1.806195  12.368   0.623   0.686   0.333  89  68  87  50
  L104-457       1330.849  2123.119  15.650   0.013 1.70100    1.806195  16.044   0.795   0.908   0.428  92  74  91  52
  L104-460       1441.462  2607.406  12.526   0.001 1.70100    1.806195  12.896   1.275   1.504   0.679  84  71  84  53
  L104-470       1089.958  3711.339  13.984   0.004 1.70100    1.806195  14.366   0.631   0.713   0.352  72  52  69  42
  L104-L2          93.196   186.083  15.643   0.013 1.70100    1.806195  16.013   0.582   0.715   0.367 112  90  93  49
  L104-S5         533.118   792.556  13.178   0.002 1.70100    1.806195  13.551   0.820   0.862   0.409  90  70  77  43
  L104-S9        1059.572  3632.676  14.246   0.004 1.70100    1.806195  14.618   0.679   0.779   0.386  71  51  71  39
  L104-S57         64.985  1213.190  16.116   0.020 1.70100    1.806195  16.533   0.600   0.726   0.377  98  78  90  48
  L104-S68       1187.095  2189.446  14.415   0.005 1.70100    1.806195  14.808   0.854   1.021   0.475  85  66  84  44
  L104-S69        709.156  2608.100  15.636   0.013 1.70100    1.806195  16.028   1.335   1.647   0.754  63  43  63  29
  L104-S357       831.896  1280.721  16.503   0.029 1.70100    1.806195  16.902   0.935   1.111   0.513  89  67  87  50
  L104-S368       351.490  2416.695  15.885   0.016 1.70100    1.806195  16.283   0.893   1.001   0.468  93  68  90  52
  L104-S379      2020.014  2811.710  15.759   0.015 1.70100    1.806195  16.137   1.077   1.175   0.501  84  65  84  46
  L104-S490      1801.586   254.712  15.005   0.008 1.70100    1.806195  15.414   0.563   0.705   0.360  83  63  80  41
  L104-S494      1529.203   394.557  15.631   0.014 1.70100    1.806195  16.004   1.089   1.289   0.563  79  61  79  41
  L104-S497      1463.787   736.917  16.372   0.027 1.70100    1.806195  16.826   0.925   1.173   0.564  55  44  55  28
  L104-S499      1388.014   977.986  14.433   0.005 1.70100    1.806195  14.801   0.709   0.758   0.368  82  63  82  41
  L104-S522      1856.066  3113.403  16.020   0.020 1.70100    1.806195  16.410   1.394   1.698   0.787  80  59  80  42
  L104-S525      1565.717  3230.774  15.719   0.014 1.70100    1.806195  16.097   0.622   0.759   0.378  81  62  81  42
  L104-S533      1720.239  3650.732  16.012   0.018 1.70100    1.806195  16.467   0.543   0.699   0.357  67  50  67  37
  L104-S540      1146.260  3884.103  15.437   0.011 1.70100    1.806195  15.825   1.004   1.150   0.509  50  32  44  29
  L104-350        161.167  3251.158  13.201   0.002 1.15200    5.244939  13.641   0.658   0.733   0.359  98  77  98  57
  L104-443       1957.695   213.239  14.951   0.008 1.15200    5.244939  15.387   1.296   1.605   0.751  81  63  81  43
  L104-444        369.614   216.874  12.827   0.002 1.15200    5.244939  13.270   0.678   0.744   0.356 110  85  83  42
  L104-453       1906.953  1631.870  11.783   0.001 1.15200    5.244939  12.232   0.757   0.892   0.439  98  82  78  44
  L104-454       1849.696  1994.593  11.479   0.001 1.15200    5.244939  11.927   0.743   0.834   0.405 100  81  68  41
  L104-456        463.380  2083.767  11.919   0.001 1.15200    5.244939  12.368   0.623   0.686   0.333  89  68  87  50
  L104-457       1178.017  2129.720  15.562   0.012 1.15200    5.244939  16.044   0.795   0.908   0.428  92  74  91  52
  L104-460       1288.844  2613.914  12.455   0.001 1.15200    5.244939  12.896   1.275   1.504   0.679  84  71  84  53
  L104-470        936.674  3718.037  13.914   0.003 1.15200    5.244939  14.366   0.631   0.713   0.352  72  52  69  42
  L104-S5         380.652   798.711  13.113   0.002 1.15200    5.244939  13.551   0.820   0.862   0.409  90  70  77  43
  L104-S9         906.402  3639.452  14.176   0.004 1.15200    5.244939  14.618   0.679   0.779   0.386  71  51  71  39
  L104-S68       1034.447  2195.995  14.361   0.005 1.15200    5.244939  14.808   0.854   1.021   0.475  85  66  84  44
  L104-S69        556.559  2614.933  15.569   0.013 1.15200    5.244939  16.028   1.335   1.647   0.754  63  43  63  29
  L104-S315      1944.882  2759.089  16.913   0.041 1.15200    5.244939  17.414   1.675   2.602   1.495  73  59  73  46
  L104-S356       825.393  1137.434  16.801   0.036 1.15200    5.244939  17.244   1.165   1.419   0.643  88  63  83  44
  L104-S357       679.003  1286.765  16.420   0.025 1.15200    5.244939  16.902   0.935   1.111   0.513  89  67  87  50
  L104-S358       835.292  1610.233  16.714   0.034 1.15200    5.244939  17.252   0.699   0.829   0.421  86  65  83  48
  L104-S361      1235.182  1755.896  16.818   0.035 1.15200    5.244939  17.186   0.868   1.003   0.464  83  65  83  46
  L104-S365       675.579  1979.758  16.783   0.035 1.15200    5.244939  17.269   0.875   1.031   0.477  74  52  66  45
  L104-S368       199.009  2423.301  15.879   0.016 1.15200    5.244939  16.283   0.893   1.001   0.468  93  68  90  52
  L104-S370       792.297  2533.678  16.805   0.036 1.15200    5.244939  17.182   0.696   0.866   0.431  80  64  80  44
  L104-S372       934.561  2622.083  16.574   0.029 1.15200    5.244939  17.106   1.059   1.279   0.557  63  48  63  31
  L104-S379      1866.475  2817.829  15.705   0.014 1.15200    5.244939  16.137   1.077   1.175   0.501  84  65  84  46
  L104-S488      1992.751    64.729  16.551   0.031 1.15200    5.244939  16.950   0.832   0.985   0.477  68  51  66  38
  L104-S490      1648.580   261.171  14.956   0.008 1.15200    5.244939  15.414   0.563   0.705   0.360  83  63  80  41
  L104-S494      1375.984   400.880  15.546   0.013 1.15200    5.244939  16.004   1.089   1.289   0.563  79  61  79  41
  L104-S497      1310.869   743.077  16.375   0.026 1.15200    5.244939  16.826   0.925   1.173   0.564  55  44  55  28
  L104-S499      1235.123   984.184  14.342   0.005 1.15200    5.244939  14.801   0.709   0.758   0.368  82  63  82  41
  L104-S522      1702.445  3119.809  15.981   0.018 1.15200    5.244939  16.410   1.394   1.698   0.787  80  59  80  42
  L104-S525      1412.337  3237.163  15.609   0.013 1.15200    5.244939  16.097   0.622   0.759   0.378  81  62  81  42
