#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L101-S322       173.576   924.740  16.728   0.047 1.76400    5.519958  16.278   0.462   0.641   0.326  41  41  18  18
  L101-S324       193.231  1048.056  16.806   0.050 1.76400    5.519958  15.833   1.157   1.427   0.640  60  60  35  35
  L101-S325      1111.703  1061.136  17.726   0.118 1.76400    5.519958  16.670   1.291   1.638   0.788  37  37  29  29
  L101-S326       761.812  1060.813  16.146   0.029 1.76400    5.519958  15.380   0.797   0.904   0.438  46  46  32  32
  L101-S328       795.534  1134.516  17.850   0.137 1.76400    5.519958  16.941   0.655   0.764   0.378  42  42  30  30
  L101-S329       981.800  1179.281  14.924   0.010 1.76400    5.519958  13.881   1.108   1.159   0.560  37  37  29  29
  L101-S330       469.568  1527.196  16.738   0.048 1.76400    5.519958  16.352   0.560   0.728   0.367  51  51  34  34
  L101-S332       277.814  1613.297  18.043   0.159 1.76400    5.519958  17.663   1.287   1.542   0.695  47  47  29  29
  L101-S333      1461.973  1743.889  14.089   0.005 1.76400    5.519958  13.413   0.712   0.805   0.374  34  33  29  29
  L101-S335      1373.010  1861.934  18.577   0.249 1.76400    5.519958  17.410   1.624   2.502   1.476  34  30  29  29
  L101-S336       241.034  1885.765  16.566   0.038 1.76400    5.519958  15.918   0.679   0.761   0.363  55  55  34  34
  L101-S337      1399.891  2025.854  17.517   0.094 1.76400    5.519958  16.529   0.866   1.013   0.468  34  32  29  29
  L101-S339         2.315  2359.409   0.000   0.000 1.76400    5.519958  17.962   1.324   1.642   0.755  47  47  33  33
  L101-S342      1053.459  2624.876  18.111   0.153 1.76400    5.519958  17.574   0.600   0.766   0.372  28  25  26  24
  L101-S343      1455.744  2682.720  18.000   0.139 1.76400    5.519958  17.789   1.261   1.519   0.665  31  26  29  27
  L101-S344       -14.689  2709.605   0.000   0.000 1.76400    5.519958  17.361   0.563   0.692   0.340  36  36  31  30
  L101-S351       314.601  2977.615  20.208   1.039 1.76400    5.519958  17.661   1.514   2.307   1.304  40  34  33  26
  L101-S353       346.738  3011.381  15.615   0.016 1.76400    5.519958  14.726   0.961   1.035   0.462  41  38  33  27
