# V        B-V     V-I     R-I    Nnight--------  nobs----------  Vary? R.A.             D.E.C.         Name    
  18.798   1.465   2.018   1.061   0.008   0.015   0.009   0.006  33  22  30  23  33  22  33  23  0.011 149.61240456899  -0.14925920275 L101-S533     
  19.726  80.273   2.526   1.466   0.014  10.000   0.016   0.011  21   0  21  13  30   0  30  14  0.037 149.31757567724  -0.58261388249 L101-S778     
  10.055   0.459   0.586   0.286   0.003   0.006   0.004   0.005  20  20  20  12  25  25  24  12  0.014 149.41615004539  -0.41509264840 L101-346      
  17.018   0.681   0.761   0.370   0.003   0.004   0.005   0.005  11  11  11  21  28  28  27  27 -0.000 149.01827923457  -0.24142465750 L101-S147     
  18.667   1.568   2.069   1.065   0.004   0.007   0.005   0.004  49  39  49  48  68  47  68  59  0.009 149.12648213704  -0.37668250402 L101-S232     
  13.746   0.635   0.743   0.366   0.002   0.003   0.003   0.003  32  32  32  26  38  33  38  26  0.005 149.51848138173  -0.38132931391 L101-S363     
  18.466   1.184   1.358   0.593   0.005   0.007   0.006   0.004  43  43  43  45  61  51  61  56  0.009 149.23720548948  -0.46851985203 L101-S489     
  13.828   1.033   1.130   0.547   0.003   0.004   0.004   0.003  24  24  24  28  42  34  42  39  0.009 148.88722265561  -0.37568649080 L101-320      
  16.199   0.564   0.737   0.364   0.002   0.003   0.002   0.002  51  51  51  49  71  63  68  60  0.004 149.08804281553  -0.37254364332 L101-S199     
  16.300   0.659   0.829   0.400   0.002   0.005   0.004   0.004  12  12  12  17  22  20  22  28  0.007 148.81468061209  -0.29712891791 L101-S423     
  17.876   0.818   0.991   0.475   0.003   0.004   0.004   0.004  46  44  46  47  64  54  64  58  0.003 149.12065846920  -0.45661860625 L101-S228     
  18.561   1.390   1.775   0.876   0.009   0.010   0.010   0.005  26  26  26  28  33  30  33  41  0.017 149.13032574654  -0.11331781387 L101-S477     
  10.538   0.560 -89.461   0.000   0.006   0.010  10.000  14.142   5   5   0   0   5   5   0   0  0.000 148.54845804771  -0.45965339237 L101-308      
  17.835   0.580   0.806   0.412   0.003   0.006   0.006   0.006  42  42  42  43  52  52  52  44  0.016 149.31312867403  -0.50258137676 L101-S317     
  16.445   0.512   0.657   0.332   0.003   0.006   0.006   0.007  13  13  13  14  21  20  21  15  0.008 149.32765588760  -0.64566666391 L101-S503     
  15.139   0.655   0.747  85.607   0.010   0.013   0.017  10.000   6   6   6   0  11  11  11   0  0.026 149.04860765537  -0.70770884726 L101-S712     
  17.585   0.521   0.702   0.347   0.003   0.004   0.005   0.005  23  23  23  24  41  37  33  33  0.003 149.02052119176  -0.49461156739 L101-S151     
  14.519   0.700   0.801   0.384   0.002   0.003   0.003   0.002  43  43  42  38  63  61  58  48  0.005 149.21850684484  -0.40184080667 L101-S485     
  18.164   0.461   0.607   0.316   0.004   0.005   0.006   0.005  37  37  36  36  46  45  46  42  0.002 149.36049027443  -0.23661522786 L101-S264     
  15.087   0.722   0.801   0.386   0.002   0.003   0.003   0.003  47  47  47  48  57  57  57  49  0.005 149.30141535203  -0.53874635114 L101-S315     
  15.717   0.900   1.123   0.537   0.002   0.005   0.006   0.007  10  10  10  14  18  17  18  15  0.009 149.29163631598  -0.64950270017 L101-S499     
  16.418   0.891   1.054   0.480   0.003   0.007   0.005   0.005   9   9   9  14  22  16  22  15  0.006 148.86082409223  -0.61769516998 L101-S436     
  15.919   0.801   0.932   0.442   0.002   0.004   0.003   0.005  13  13  13  22  31  25  31  33  0.009 148.90475584666  -0.32230825848 L101-S108     
  15.956   1.350   1.620   0.746   0.002   0.003   0.003   0.003  38  38  38  47  58  58  58  58  0.008 149.13481799761  -0.26151009878 L101-S236     
  18.571   1.400   1.761   0.808   0.006   0.011   0.008   0.006  44  35  44  45  61  42  61  56  0.028 149.07723287741  -0.39279443635 L101-S184     
  13.602   0.598   0.751   0.344   0.003   0.007   0.005   0.005  11  11  11  12  21  19  21  23  0.014 148.79762448072  -0.35865336630 L101-S415     
  19.139  80.860   2.679  83.539   0.007  10.000   0.008  10.000   7   0   7   0  23   0  18   0  0.023 148.87801543872  -0.45873941316 L101-S650     
  19.542   0.788   0.902  81.359   0.011   0.020   0.014  10.000  14  11  11   0  30  18  25   0  0.020 149.16327109337  -0.31848961870 L101-S740     
  16.796   0.626   0.733   0.359   0.002   0.003   0.002   0.003  67  64  61  50  99  75  73  51  0.002 149.32931975524  -0.31524166425 L101-S29      
  15.896   0.632   0.759   0.381   0.002   0.003   0.003   0.003  49  49  49  50  60  60  60  52  0.004 149.29256622394  -0.51113354577 L101-L5       
  16.318   0.666   0.740   0.348   0.002   0.004   0.004   0.004  30  29  29  26  30  29  30  26  0.008 149.58392012119  -0.09417134815 L101-S385     
  17.549   0.628   0.769   0.396   0.003   0.004   0.004   0.004  55  55  54  52  76  76  72  63  0.010 149.26344631513  -0.30593509727 L101-S7       
  17.844   0.861   1.092   0.481   0.007   0.014   0.012   0.021   6   6   6   6   6   6   6   6  0.018 149.07252764702   0.02838902367 L101-S180     
  16.645   0.573   0.697   0.347   0.004   0.006   0.006   0.005  26  26  25  25  33  32  33  35  0.014 149.23550093969  -0.07956722154 L101-S307     
  16.111   0.702   0.809   0.400   0.002   0.004   0.003   0.003  46  46  39  33  54  53  48  33  0.010 149.36180801392  -0.51879409512 L101-S327     
  17.575   0.511   0.685   0.337   0.004   0.004   0.006   0.008  19  19  19  20  37  32  27  27  0.011 148.96789728800  -0.54854597833 L101-S454     
  17.270   1.456   1.837   0.898   0.003   0.005   0.004   0.003  37  37  37  30  43  43  43  30  0.008 149.46678630511  -0.41288372993 L101-S89      
  11.577   0.796   0.867   0.410   0.002   0.002   0.002   0.003  94  94  78  68 113 112  95  83  0.007 149.27102862597  -0.52864454693 L101-281      
  17.873   1.484   2.000   1.027   0.004   0.008   0.005   0.005  40  32  33  26  40  32  40  26  0.012 149.57694017092  -0.19238976796 L101-S381     
  19.203   0.559   0.783   0.362   0.010   0.020   0.014   0.017   8   8   8   6  13  12  12   7 -0.003 148.80905645688  -0.55885260317 L101-S419     
  16.621   0.647   0.844   0.422   0.004   0.007   0.006   0.005   9   9   9  17  20  16  20  27  0.009 148.85529591242  -0.20016622821 L101-S98      
  15.931   0.796   0.869   0.407   0.002   0.004   0.003   0.003  40  37  33  26  40  37  40  26  0.006 149.58877571424  -0.15536604828 L101-S529     
  13.451   1.132   1.293   0.563   0.002   0.004   0.002   0.002  51  51  51  47  68  66  64  58  0.010 149.03700180054  -0.43152681457 L101-327      
  16.897   0.654   0.781   0.364   0.003   0.005   0.004   0.004  37  37  37  44  54  53  54  56  0.017 149.07200480302  -0.28933547974 L101-S178     
  18.653   1.251   1.539   0.707   0.005   0.006   0.006   0.005  46  40  34  34  54  42  44  39  0.007 149.38595932325  -0.22589763112 L101-S268     
  18.730   1.514   2.008   1.046   0.006   0.016   0.012   0.012  26  18  26  28  33  22  33  38  0.035 149.10276707013  -0.06658224848 L101-S215     
  18.014   0.803   0.914   0.435   0.003   0.004   0.004   0.004  48  45  47  44  63  55  63  55  0.002 149.12486936251  -0.43668234825 L101-S230     
  17.925   1.152   1.375   0.611   0.005   0.005   0.005   0.003  35  35  35  48  53  52  53  62  0.011 149.25149212070  -0.23988976426 L101-S258     
  18.710   1.376   1.598   0.728   0.008   0.015   0.009   0.011  22  18  18  10  24  20  24  10  0.017 149.42429176966  -0.12706493378 L101-S801     
  18.834   1.518   2.143   1.095   0.008   0.021   0.010   0.009  11  10  11  17  29  17  29  28  0.032 148.85323803425  -0.38713291460 L101-S96      
  16.658   0.533   0.698   0.334   0.003   0.004   0.006   0.009   9   9   9   8  17  17  12   8  0.009 149.38525279363  -0.61569978820 L101-S511     
  17.707   0.544   0.723   0.369   0.006   0.006   0.008   0.006  12  12  12  21  29  29  27  27  0.010 149.01493767202  -0.23592654308 L101-S145     
  16.342   0.545   0.707   0.347   0.002   0.004   0.004   0.004  39  39  39  42  54  54  54  53  0.012 149.19175167084  -0.53959924539 L101-S297     
  14.519   0.813   0.901   0.416   0.002   0.003   0.003   0.003  56  56  56  49  71  70  71  50  0.010 149.32664999167  -0.41710944222 L101-339      
  17.287   0.681   0.828   0.406   0.003   0.004   0.004   0.005  14  14  14  22  32  29  31  31  0.002 148.92476514181  -0.30496720897 L101-S116     
  17.489   0.455   0.648   0.321   0.003   0.006   0.005   0.005  25  25  25  29  43  41  42  41  0.010 149.06674137115  -0.48797162480 L101-S174     
  13.594   0.717   0.804   0.362   0.002   0.004   0.004   0.005  26  26  26  35  46  42  46  46  0.017 149.06764094830  -0.28541206121 L101-S176     
  18.891  81.108   0.683   0.328   0.008  10.000   0.017   0.018   9   0   9  12  22   0  18  14  0.039 148.91106581688  -0.57021493938 L101-S444     
  13.728   0.529   0.638  86.909   0.005   0.007   0.007  10.000   6   6   6   0   6   6   6   0  0.006 149.65201187134  -0.35943078995 L101-S853     
  16.439   0.790   0.857   0.412   0.002   0.004   0.003   0.003  53  53  53  49  75  75  71  60  0.011 149.24189887047  -0.29548690266 L101-S2       
  17.944   0.833   0.950   0.459   0.003   0.006   0.004   0.004  58  54  44  37  71  61  58  37  0.012 149.36892199516  -0.43455768307 L101-S49      
  17.009   0.604   0.765   0.371   0.004   0.010   0.007   0.006   8   8   8  14  25  17  25  25  0.014 148.85485519568  -0.47914667235 L101-S434     
  18.671   1.469   1.748   0.829   0.006   0.008   0.008   0.007  15  15  15  26  29  23  29  28  0.011 149.05330432653  -0.27582592964 L101-S163     
  17.921   1.424   2.078  84.156   0.010   0.016   0.015  10.000  10  10  10   0  12  12  12   0  0.025 149.22497763634  -0.68943266816 L101-S754     
  15.068   0.685   0.743   0.335   0.003   0.004   0.004   0.003  30  29  29  25  30  29  30  25  0.006 149.58098312219  -0.06541788313 L101-S383     
  16.421   1.368   1.888  85.466   0.009   0.012   0.017  10.000   7   7   7   0  12  12  12   0  0.026 148.94084103902  -0.68102938228 L101-S680     
  17.210   0.946   1.029  83.818   0.004   0.010   0.006  10.000   7   7   7   0  20  15  15   0  0.008 148.99504880905  -0.59822121620 L101-S697     
  16.096   0.690   0.892   0.432   0.003   0.005   0.005   0.005  10   9  10  14  20  17  20  25  0.009 148.82803486983  -0.38372092449 L101-S425     
